#Chromosome/scaffold name	Gene Start (bp)	Gene End (bp)	HGNC symbol	Gene ID
HG991_PATCH	66119285	66465398	SLC25A26	ENSG00000261657
13	23708313	23708703	HMGA1P6	ENSG00000233440
13	23726725	23726825	RNY3P4	ENSG00000207157
13	23743974	23744736	LINC00362	ENSG00000229483
13	23791571	23791673	RNU6-58P	ENSG00000252952
13	23817659	23821323	TATDN2P3	ENSG00000235205
13	93708910	93710179	LINC00363	ENSG00000232849
13	23841645	23843289	SDAD1P4	ENSG00000236803
13	23947562	23948200	RPLP1P13	ENSG00000232163
13	23993110	24002818	SACS-AS1	ENSG00000229558
13	94047230	94048108	HNRNPA1P29	ENSG00000235784
13	94470677	94488397	GPC6-AS2	ENSG00000224394
13	94677724	94677852	RNA5SP35	ENSG00000212559
13	24040710	24061603	LINC00327	ENSG00000232977
13	94806447	94840245	GPC6-AS1	ENSG00000236520
13	24072935	24077013	LINC00352	ENSG00000227893
13	95303651	95303783	RNA5SP36	ENSG00000222129
13	24340073	24340243	MTCO3P2	ENSG00000232102
13	95351479	95351756	RN7SL585P	ENSG00000242037
13	95351948	95355116	LINC00391	ENSG00000238230
13	95364970	95368500	SOX21-AS1	ENSG00000227640
13	24463028	24471402	C1QTNF9B-AS1	ENSG00000205861
13	95409705	95411526	BRD7P5	ENSG00000235768
13	95412807	95413269	RPL21P112	ENSG00000237924
13	95612295	95613573	LINC00557	ENSG00000260962
13	95671489	95671590	RNU6-62P	ENSG00000252335
13	95963084	95963209	RNY3P8	ENSG00000223298
13	24513696	24520921	ANKRD20A19P	ENSG00000196593
13	95988360	95988455	RNY4P27	ENSG00000200211
13	96046303	96046708	MEMO1P5	ENSG00000271492
13	96131698	96186164	CLDN10-AS1	ENSG00000223392
13	96300987	96329179	DNAJC3-AS1	ENSG00000247400
13	24696204	24697953	IPO7P2	ENSG00000225674
13	96344792	96346226	MTND5P2	ENSG00000229622
13	24736555	24736643	MIR2276	ENSG00000252695
13	24826887	24828577	SPATA13-AS1	ENSG00000227213
13	96346237	96346749	MTND6P18	ENSG00000227714
13	24889863	24895736	C1QTNF9-AS1	ENSG00000240868
13	96346823	96347959	MTCYBP3	ENSG00000232373
13	24902349	24903210	NUS1P3	ENSG00000234627
13	24905588	24911259	LINC00566	ENSG00000261498
13	96461564	96461861	HMGN1P24	ENSG00000226977
13	24974841	24975167	CYCSP33	ENSG00000233545
13	96821799	96822099	RN7SL164P	ENSG00000242614
13	97225913	97226753	AMMECR1LP1	ENSG00000233273
13	24982295	25171814	TPTE2P6	ENSG00000205822
13	97536096	97542067	HSP90AB6P	ENSG00000235137
13	97593535	97636426	LINC00359	ENSG00000243300
13	25140981	25144866	PSPC1P2	ENSG00000244615
13	97599891	97601181	TULP3P1	ENSG00000234267
13	97601503	97601787	RN7SKP7	ENSG00000222472
13	25277694	25277803	RNY1P7	ENSG00000207474
13	25278476	25278926	RPL26P34	ENSG00000225404
13	97824723	97831876	LINC00456	ENSG00000233124
13	25316815	25320322	IRX1P1	ENSG00000231417
13	98015226	98015355	RNA5SP37	ENSG00000202290
13	98127996	98128713	PSMA6P4	ENSG00000271625
13	25324795	25326309	ANKRD20A10P	ENSG00000226695
13	98553907	98554542	RPL7AP61	ENSG00000233291
13	25498815	25542625	TPTE2P1	ENSG00000253771
13	98639204	98639470	FTLP8	ENSG00000232217
13	98856089	98856446	RN7SKP8	ENSG00000222969
13	98860778	98860854	MIR3170	ENSG00000263399
13	25517713	25518636	SLC25A15P3	ENSG00000251299
13	99087659	99088094	FARP1-AS1	ENSG00000231194
13	25562715	25563063	RPL34P27	ENSG00000232858
13	99229498	99231084	STK24-AS1	ENSG00000224418
13	99262546	99263130	NUS1P4	ENSG00000217686
13	25746966	25754217	AMER2-AS1	ENSG00000234056
13	99281940	99282243	CYCSP35	ENSG00000233549
13	25755579	25763898	LINC01053	ENSG00000238169
13	99293068	99293493	CALM2P4	ENSG00000233662
13	25767245	25784433	LINC01076	ENSG00000225105
13	99324234	99324529	RN7SL60P	ENSG00000243366
13	25780187	25780644	RPL23AP69	ENSG00000235315
13	99484338	99486883	DOCK9-AS1	ENSG00000229918
HG706_PATCH	75610476	75660403	BTC	ENSG00000261530
13	99601973	99602701	RPL7L1P12	ENSG00000231981
13	25939937	25940293	TCEB2P1	ENSG00000234152
